"Gene Symbol","MGI Gene Id","Colony Id","Sex","Zygosity","Phenotype","Comment"
"Ido2","MGI:2142489","MECR","both","homozygote","Viable"
"Haao","MGI:1349444","ET9321","both","homozygote","Viable"
"Gm16432","MGI:3645414","PMCY","both","homozygote","Viable"
"Inpp1","MGI:104848","MNPP","both","homozygote","Viable"
"Ppp1r35","MGI:1922853","JR25860","both","homozygote","Lethal"
"Htr7","MGI:99841","JR23282","both","homozygote","Viable"
"Ngfr","MGI:97323","H-NGFR-D03-TM1B","both","homozygote","Subviable"
"Cdc20","MGI:1859866","JR18590","both","homozygote","Lethal"
"Rab11a","MGI:1858202","JR26603","both","homozygote","Lethal"
"Commd10","MGI:1916706","MEMK","both","homozygote","Lethal"
"Hhipl1","MGI:1919265","H-HHIPL1-H04-TM1B","both","homozygote","Viable"
"Pbx3","MGI:97496","H-PBX3-C12-TM1B","both","homozygote","Lethal"
"Fgf9","MGI:104723","H-FGF9-H07-TM1B","both","homozygote","Lethal"
"Sema3f","MGI:1096347","H-SEMA3F-A04-TM1B","both","homozygote","Subviable"
"Slc6a3","MGI:94862","JR22301","both","homozygote","Viable"
"Phpt1","MGI:1922704","BL2475","both","homozygote","Viable"
"Ncoa6","MGI:1929915","JR26912","both","homozygote","Subviable"
"Ick","MGI:1934157","BL3023","both","homozygote","Viable"
"Map3k7","MGI:1346877","H-Map3k7-B11-TM1B","both","homozygote","Lethal"
"Ube2u","MGI:3588216","H-UBE2U-F06-TM1B","both","homozygote","Viable"
"Ltbp2","MGI:99502","JR26929","both","homozygote","Viable"
"Mapkbp1","MGI:1347004","H-MAPKBP1-H02-TM1B","both","homozygote","Viable"
"Fgf8","MGI:99604","H-FGF8-A10-TM1B","both","homozygote","Lethal"
"Atp5l","MGI:1351597","H-ATP5L-A09-TM1B","both","homozygote","Lethal"
"Kif1bp","MGI:1919570","MGCY","both","homozygote","Lethal"
"Tmem127","MGI:1916720","MFJN","both","homozygote","Viable"
"Mrps21","MGI:1913542","MEJD","both","homozygote","Lethal"
"Ino80b","MGI:1917270","BL3001","both","homozygote","Lethal"
"Gpsm1","MGI:1915089","BL3679","both","homozygote","Viable"
"Tardbp","MGI:2387629","H-TARDBP-C03-TM1B","both","homozygote","Lethal"
"Hip1r","MGI:1352504","HIPRB","both","homozygote","Viable"
"Skiv2l","MGI:1099835","SKIDB","both","homozygote","Lethal"
"Mmp8","MGI:1202395","JR22092","both","homozygote","Viable"
"N4bp3","MGI:2442218","BL2410","both","homozygote","Viable"
"Gkn2","MGI:1913534","BL1301","both","homozygote","Viable"
"Popdc3","MGI:1930153","BL2949","both","homozygote","Viable"
"Gstcd","MGI:1914803","GSETB","both","homozygote","Viable"
"A430005L14Rik","MGI:2140680","MEVK","both","homozygote","Viable"
"Slit1","MGI:1315203","H-SLIT1-H12-TM1B","both","homozygote","Viable"
"Adh5","MGI:87929","H-Adh5-G04-TM1B","both","homozygote","Viable"
"Klra7","MGI:101901","JR27444","both","homozygote","Viable"
"Gja8","MGI:99953","H-Gj8a-G06-TM1B","both","homozygote","Viable"
"Dsg1b","MGI:2664357","MERP","both","homozygote","Viable"
"Aqp3","MGI:1333777","H-Aqp3-E11-TM1B","both","homozygote","Viable"
"Gnpda1","MGI:1347054","TCPM0189Cre","both","homozygote","Lethal"
"Pitx2","MGI:109340","H-PITX2-A07-TM1B","both","homozygote","Lethal"
"Lonrf3","MGI:1921615","MEGU","both","homozygote","Viable"
"Ssbp1","MGI:1920040","MEPZ","both","homozygote","Lethal"
"Dennd1b","MGI:2447812","MFVH","both","homozygote","Viable"
"Pdia4","MGI:104864","MUEW","both","homozygote","Viable"
"Arpc1b","MGI:1343142","MDWK","both","homozygote","Viable"
"Cbx4","MGI:1195985","TCPA0078Cre","both","homozygote","Lethal"
"Jtb","MGI:1346082","JTBCB","both","homozygote","Lethal"
"Evl","MGI:1194884","H-Evl-A03-TM1B","both","homozygote","Viable"
"Klk14","MGI:2447564","JR25381","both","homozygote","Viable"
"Kif1b","MGI:108426","JR23603","both","homozygote","Lethal"
"Macrod2","MGI:1920149","JR18570","both","homozygote","Viable"
"Rad9a","MGI:1328356","RADAB","both","homozygote","Lethal"
"Gpr33","MGI:1277106","H-GPR33-A05-TM1B","both","homozygote","Viable"
"Leprotl1","MGI:1915442","H-LEPROTL1-H12-TM1B","both","homozygote","Viable"
"C8a","MGI:2668347","TCPM0708Cre","both","homozygote","Viable"
"Bach2","MGI:894679","MFZQ","both","homozygote","Viable"
"Rab43","MGI:1917084","JR23059","both","homozygote","Viable"
"Stx18","MGI:1918366","JR24410","both","homozygote","Lethal"
"Tbkbp1","MGI:1920424","H-TBKBP1-A04-TM1B","both","homozygote","Viable"
"Rnf112","MGI:106611","JR26442","both","homozygote","Viable"
"Efcab11","MGI:1926017","H-EFCAB11-A03-TM1B","both","homozygote","Viable"
"Fbxo47","MGI:1920223","MDTZ","both","homozygote","Viable"
"Cdkal1","MGI:1921765","MDZB","both","homozygote","Viable"
"Fam210a","MGI:1914000","TCPM0583Cre","both","homozygote","Lethal"
"Rab3ip","MGI:105933","JR23394","both","homozygote","Viable"
"Pipox","MGI:1197006","TCPA0564Cre","both","homozygote","Viable"
"Atl2","MGI:1929492","H-ATL2-C05-TM1B","both","homozygote","Lethal"
"Foxi2","MGI:3028075","JR25265","both","homozygote","Viable"
"Slc8a3","MGI:107976","JR24409","both","homozygote","Viable"
"Tpcn2","MGI:2385297","H-Tpcn2-C10-TM1B","both","homozygote","Viable"
"Rgp1","MGI:1915956","JR22345","both","homozygote","Lethal"
"Polr3f","MGI:1924086","MFVN","both","homozygote","Lethal"
"Irf7","MGI:1859212","MEBN","both","homozygote","Viable"
"Npc2","MGI:1915213","TCPM0216Cre","both","homozygote","Viable"
"Exoc4","MGI:1096376","JR25733","both","homozygote","Lethal"
"Smoc2","MGI:1929881","JR24350","both","homozygote","Viable"
"Slfn4","MGI:1329010","H-SLFN4-G08-TM1B","both","homozygote","Viable"
"Atxn10","MGI:1859293","MUFW","both","homozygote","Lethal"
"Gpr22","MGI:1920260","H-GPR22-F10-TM1B","both","homozygote","Viable"
"Sel1l","MGI:1329016","MDYY","both","homozygote","Lethal"
"Chmp3","MGI:1913950","CHIPB","both","homozygote","Lethal"
"Col1a2","MGI:88468","COLSB","both","homozygote","Viable"
"Aldh9a1","MGI:1861622","ALDHB","both","homozygote","Viable"
"Lrrc51","MGI:1916608","LRRDB","both","homozygote","Viable"
"Sirt3","MGI:1927665","H-Sirt3-F10-TM1B","both","homozygote","Viable"
"Dbn1","MGI:1931838","H-DBN1-A05-TM1B","both","homozygote","Subviable","Conflicting Data"
"Cnih2","MGI:1277225","JR24978","both","homozygote","Viable"
"Syce1","MGI:1921325","JR26719","both","homozygote","Viable"
"Gprc5b","MGI:1927596","MDYT","both","homozygote","Viable"
"Cabp1","MGI:1352750","H-Cabp1-H04-TM1B","both","homozygote","Viable"
"Reg3g","MGI:109406","MECP","both","homozygote","Viable"
"Gpr25","MGI:2686146","GPBRB","both","homozygote","Viable"
"Thada","MGI:3039623","Thada EPD0693_2_C09 HOM","both","homozygote","Viable"
"Frrs1l","MGI:2442704","H-FRRS1L-B11-TM1B","both","homozygote","Subviable"
"Cdh19","MGI:3588198","MELB","both","homozygote","Viable"
"Klk9","MGI:1921082","MEUJ","both","homozygote","Viable"
"AI464131","MGI:2140300","JR21488","both","homozygote","Viable"
"Sez6l","MGI:1935121","H-SEZ6L-E05-TM1B","both","homozygote","Viable"
"Mcu","MGI:3026965","H-MCU-B01-TM1B","both","homozygote","Lethal"
"Idh1","MGI:96413","TCPM0227Cre","both","homozygote","Viable"
"Armc7","MGI:2679719","MUCC","both","homozygote","Subviable"
"Cdh4","MGI:99218","JR25179","both","homozygote","Viable"
"Zfp207","MGI:1340045","H-ZFP207-E04-TM1B","both","homozygote","Lethal"
"Pop4","MGI:1913411","MEQK","both","homozygote","Lethal"
"Trim17","MGI:1861440","MEEC","both","homozygote","Viable"
"Smco2","MGI:1916621","Smco2 EPD0382_4_B12","both","homozygote","Viable"
"Casq2","MGI:1309469","BL3707","both","homozygote","Lethal"
"Rasa3","MGI:1197013","JR23423","both","homozygote","Lethal"
"Mgat4d","MGI:1914805","MGATB","both","homozygote","Viable"
"Clu","MGI:88423","H-CLU-B02-TM1B","both","homozygote","Viable"
"Adamts13","MGI:2685556","Adamts13 EPD0423_2_B08 HOM","both","homozygote","Viable"
"Esyt2","MGI:1261845","ESTTB","both","homozygote","Viable"
"Celf6","MGI:1923433","Celf6 EPD0681_3_B10","both","homozygote","Viable"
"Atp6v1d","MGI:1921084","TCPA0536Cre","both","homozygote","Lethal"
"Cyp2u1","MGI:1918769","JR26288","both","homozygote","Subviable"
